Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,CHN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,51.1368103,,,,,,,,68.07208252,,,,,,,,,,86.5266037,,,,,,,,,,92.71122742,,,,,,,,95.15933228,,95.61000061,
Cote d'Ivoire,CIV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43378067,,,,,,,,,,28.47666931,,38.61450958,,,,,,,,,,,,30.46171951,,36.78424835,,,,,86.74124908,,
Cameroon,CMR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,29.11613083,,,,,,,,,,,,,,,,,,,,,,,,58.7217598,,,,,,,63.02206039,,,64.79949951,,,,,,,,71.58627319,,73.12000275,
"Congo, Dem. Rep.",COD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.06090164,,,,,,46.10425186,,,,,62.91864014,,,,66.49997711,,,,,70.76000214
"Congo, Rep.",COG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,49.00133896,,,,,,,,,,,,,,,,,,,,,67.4807663,,,,,,72.87705994,,,,,,,74.61875916,,,75.37000275
Colombia,COL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.14790344,,,91.31400299,,,,,,,,92.71463013,92.91124725,92.22059631,92.8456192,93.4353714,93.41513062,93.48679352,93.66712952,,,94.48465729,94.41581726,94.89022064,,95.31891632,95.46903229,95.87506104,
Comoros,COM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,40.31761932,,,,,,,,,,,,,,,,,,,,63.45901871,,,,,,,,,,,,42.63729095,,,,,,52.95639038,,,56.93999863
Cabo Verde,CPV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.99861908,,,,,,,,,,69.44455719,,,,,,,,,,,,80.49622345,,,82.04222107,,,,,,87.40000153
Costa Rica,CRI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,92.57713318,,,,,,,,,,,,,,,,95.08078766,,,,,,,,,,,97.50041199,,,,,,,97.92443085,,,98.09999847
Caribbean small states,CSS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.51194,88.56056976,88.83863068,89.08416748,89.32936859,89.63121796,89.49060822,90.27687073,90.63484955,90.89201355,91.13768005,91.36477661,91.6280899,91.78420258,92.44523621,92.67520142,92.86708069,92.9453125,92.99669647,92.77890015,92.44811249,92.45745087,92.59966278,,,,,,
Cuba,CUB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.79091644,,,,,,,,,,99.79988098,,,,,,,,,99.71714783
Curacao,CUW,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02147675,,,,,,,,,,99.02147675,,,,99.02147675
Cyprus,CYP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.00177765,,,,,,,,,95.07965851,,,,,,,,,,98.1162262,,,,,,,,,,99.15000153
Czechia,CZE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,72.53607941,,,,,,,,,,,,,,,,,,,,,87.17709351,,,,,88.27716827,,,89.69730377,90.22557068,90.22416687,91.25051117,92.147789,92.32106018,93.76412964,,,,,95.26999664
Algeria,DZA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.83992004,,,,,,,,,,,,,,,60.07508087,,,,63.91878891,,67.54875183,,,,,,,,,,75.32296753,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,50.17021179,50.40011978,51.83287048,53.28955841,54.11529922,56.25120163,57.4033699,59.12911987,60.53221893,61.87334061,63.01242065,64.51879883,70.38601685,71.38205719,71.49851227,73.07935333,73.87214661,74.64051819,75.45860291,76.27031708,76.98712921,85.07823181,85.59712982,86.06111145,86.43836975,87.09468079,87.63014984,88.18466187,88.65170288,89.14202881,89.64891815,91.25627899,91.60250092,92.09410858,92.25202179,92.11917877,92.41458893,92.54505157,93.14195251,93.37835693,93.61649323,93.87390137,94.03446198,94.53022766,94.75978851,
Early-demographic dividend,EAR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,37.22763062,37.57088852,38.28081894,39.02856064,39.72964859,39.85255814,40.9498291,42.00310898,42.79961014,43.83177185,44.63219833,45.43880844,46.42065048,46.8039093,47.61476135,48.67993927,49.35194016,50.36503983,51.15335083,52.12865829,53.11587906,54.03197098,54.84117889,57.72463989,58.5302887,59.39263153,60.04328156,60.71947098,61.76139832,62.72061157,62.26869965,63.18542862,63.93698883,65.13339996,66.26760101,68.23957825,68.5100708,69.13433075,69.76817322,70.9025116,71.72815704,72.5220871,73.13034821,73.51274872,74.47738647,74.97348785,
East Asia & Pacific,EAS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,53.40584946,53.65800095,54.94926071,56.25688171,56.97520828,58.95901108,59.93360901,61.46649933,62.72092819,63.9250412,64.93743134,66.3479538,71.57993317,72.50199127,72.62255096,74.06493378,74.80120087,75.51358032,76.29112244,77.06259918,77.73404694,84.958992,85.45491028,85.93063354,86.29000092,86.919487,87.4488678,88.01193237,88.47189331,88.97194672,89.46878815,90.94673157,91.32911682,91.81411743,91.89901733,91.71311951,92.0241394,92.15796661,92.8395462,93.08551025,93.32814026,93.59044647,93.75583649,94.27364349,94.50119781,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,91.27232361,92.20607758,92.43121338,92.57449341,92.77129364,92.98629761,93.07559967,93.27411652,93.40657043,93.58348846,93.76451111,93.94297791,94.12557983,94.40776825,94.58338165,95.12680817,95.26725006,95.27207184,95.38018036,95.50672913,95.61148071,95.84033966,96.1050415,96.05280304,96.20641327,96.25647736,97.0875473,97.5409317,97.92725372,98.13276672,98.21103668,98.255867,98.29901123,98.49021149,98.48461151,98.55599213,98.65484619,98.71027374,
Europe & Central Asia,ECS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.62426758,93.84703064,94.04708099,94.25511169,94.50061798,94.68353271,94.94960022,95.12000275,95.15667725,95.28898621,95.49784088,95.62774658,95.79876709,95.99913025,95.99829865,96.10957336,96.17945862,96.57929993,96.82312775,97.02787781,97.17301941,97.26309204,97.3228302,97.38201141,97.51107788,97.56329346,97.65177155,97.72464752,97.79670715,
Ecuador,ECU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,80.40522766,,,,,,,,86.19332886,,,,,,,,,,,89.69709015,,,,,,90.86557007,91.12256622,90.91754913,90.47010803,90.22081757,90.95168304,92.21807861,93.25386047,93.25662231,93.31452942,92.08669281,,,92.490242,94.04849243
"Egypt, Arab Rep.",EGY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,22.43800926,,,,,,,,,,31.39266968,,,,,,,,,,43.59531021,,,,,,,,,56.12155151,57.81190872,,,,63.51580811,,65.75666046,62.70521927,,,,65.50569153,,,,67.38999939
Euro area,EMU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22441864,,,,,,54.80107117,,,,,,,,,,68.94618988,,,
Spain,ESP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,89.93692017,,,,,,,,,,95.0510025,,,,,,,,,,,,,96.23088074,96.92514801,96.97483063,97.26032257,96.88684082,96.92597198,97.00450134,97.06556702,97.21804047,97.4405365,97.48735046,97.54712677,97.69535828,,97.97377777,,98.18704224,
Estonia,EST,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.60147858,,,,,,,,,,,99.76006317,,,,,,,,,,,99.90947723,,,,,,,,,,99.87999725
Ethiopia,ETH,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.51498032,,,,,,,,,,22.79999924,17.97719955,,28.9216404,,,,,,,,,,44.42338181,,,,
European Union,EUU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48751831,49.93682098,50.38825989,50.64813995,51.06721878,51.71551132,51.53607178,51.7786293,52.56716919,53.02370834,53.51998901,54.21936035,54.84489822,55.42874908,53.43209839,54.01177979,53.74066925,54.04846954,55.19427109,54.91991043,57.02960968,53.91503906,53.95734024,53.49023056,53.98804092,53.91442871,55.50003815,55.91476059,56.87350845,56.10456848,58.04951096,58.94094849,57.33853149,58.36429977,58.38407898,
Finland,FIN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3263092,,,,,,,,,,,,,,,,,,,79.87896729,,,,,,83.42397308,,,84.68000031
United Kingdom,GBR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.55284882,,,,,,,,,,,,99.51457977,,,99.2947464,,99.45179749,,
Ghana,GHA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79196167,,,,,,,,,,65.29469299,,,,,,,,74.47438812,,76.19000244,
Gibraltar,GIB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
